image,xmin,ymin,xmax,ymax,label
img-0475.jpg,1766,942,1817,1084,Crack
img-0476.jpg,1781,1310,1856,1474,Crack
img-0477.jpg,1819,1615,1879,1762,Crack
img-0478.jpg,1860,1841,1931,1943,Crack
img-0491.jpg,1813,317,1873,412,Crack
img-0492.jpg,1781,682,1864,837,Crack
img-0493.jpg,1749,1120,1812,1267,Crack
img-0504.jpg,1613,531,1687,634,Crack
img-0505.jpg,1624,838,1684,962,Crack
img-0506.jpg,1616,834,1684,963,Crack
img-0507.jpg,1607,1426,1673,1570,Crack
img-0508.jpg,1639,1641,1696,1753,Crack
img-0539.jpg,246,60,339,129,Crack
img-0538.jpg,258,109,417,186,Crack
img-0537.jpg,344,224,512,326,Crack
img-0536.jpg,488,406,672,491,Crack
img-0535.jpg,628,574,812,647,Crack
img-0534.jpg,809,723,965,784,Crack
img-0533.jpg,1003,855,1129,944,Crack
img-0532.jpg,1203,1010,1271,1034,Crack
img-0544.jpg,929,1446,1039,1548,Crack
img-0545.jpg,945,1304,1047,1406,Crack
img-0569.jpg,945,1160,1030,1274,Crack
img-0568.jpg,916,1402,1018,1516,Crack
img-0567.jpg,908,1517,981,1590,Crack
img-0550.jpg,990,35,1059,88,Crack
img-0549.jpg,957,282,1059,363,Crack
img-0548.jpg,966,565,1047,651,Crack
img-0547.jpg,933,820,1055,938,Crack
img-0546.jpg,916,1055,1047,1165,Crack
img-1426.jpg,964,1248,1036,1315,Crack
img-1427.jpg,952,713,1039,828,Crack
img-1428.jpg,981,419,1059,574,Crack
img-1429.jpg,1026,71,1084,203,Crack
img-1461.jpg,1125,1197,1198,1292,Crack
img-1462.jpg,1043,988,1124,1091,Crack
img-1463.jpg,904,702,1005,808,Crack
img-1464.jpg,819,473,929,590,Crack
img-1465.jpg,760,252,844,407,Crack
img-1466.jpg,655,71,742,208,Crack
img-1481.jpg,1377,1293,1469,1391,Crack
img-1482.jpg,1380,1067,1469,1182,Crack
img-1483.jpg,1380,804,1486,953,Crack
img-1484.jpg,1394,577,1472,735,Crack
img-1485.jpg,1385,342,1464,483,Crack
img-1486.jpg,1351,153,1458,299,Crack
img-1487.jpg,1357,11,1447,92,Crack
img-1818.jpg,1527,741,1613,885,Crack
img-1819.jpg,1501,756,1625,885,Crack
img-2311.jpg,1150,999,1203,1077,Crack
img-2312.jpg,1128,702,1186,791,Crack
img-2313.jpg,1077,436,1149,551,Crack
img-2314.jpg,1043,294,1110,378,Crack
img-2906.jpg,1131,735,1229,900,Crack
img-2907.jpg,1085,868,1175,1011,Crack
img-3586.jpg,1682,517,1783,623,Crack
img-3586.jpg,1762,412,1896,538,Crack
img-3587.jpg,1606,907,1710,1053,Crack
img-3587.jpg,1654,757,1840,940,Crack
img-3588.jpg,1513,1315,1602,1512,Crack
img-3588.jpg,1555,1142,1755,1331,Crack
img-3589.jpg,1416,1708,1514,1914,Crack
img-3589.jpg,1467,1530,1667,1721,Crack
img-3601.jpg,1821,300,1899,418,Crack
img-3601.jpg,1864,136,2044,324,Crack
img-3602.jpg,1722,775,1792,953,Crack
img-3602.jpg,1764,600,1956,783,Crack
img-3603.jpg,1620,1295,1704,1506,Crack
img-3603.jpg,1694,1102,1885,1291,Crack
img-3604.jpg,1448,1756,1540,1943,Crack
img-3604.jpg,1542,1585,1709,1807,Crack
img-4497.jpg,933,1221,1096,1285,Crack
img-4497.jpg,1085,1267,1181,1348,Crack
img-4498.jpg,938,1230,1113,1299,Crack
img-4498.jpg,1091,1255,1186,1353,Crack
img-4499.jpg,950,1152,1121,1210,Crack
img-4499.jpg,1099,1190,1185,1264,Crack
img-4500.jpg,1051,1183,1186,1258,Crack
img-4500.jpg,1156,1210,1237,1291,Crack
img-4501.jpg,1102,1170,1229,1251,Crack
img-4501.jpg,1187,1204,1268,1291,Crack
img-4502.jpg,573,1371,753,1489,Crack
img-4502.jpg,712,1493,767,1599,Crack
img-4503.jpg,859,1530,1042,1642,Crack
img-4504.jpg,1133,1317,1248,1415,Crack
img-4543.jpg,826,831,869,915,Crack
img-4544.jpg,754,524,821,639,Crack
img-4545.jpg,723,323,790,424,Crack
img-4547.jpg,1029,1061,1127,1159,Crack
img-4548.jpg,950,727,1065,823,Crack
img-4549.jpg,924,430,1011,540,Crack
img-4550.jpg,904,224,968,339,Crack
img-4851.jpg,1569,973,1647,1046,Crack
img-4853.jpg,1462,937,1560,1111,Crack
img-4854.jpg,1583,804,1676,944,Crack
img-4856.jpg,1391,611,1531,817,Crack
img-4857.jpg,1541,565,1696,767,Crack
img-4859.jpg,1286,675,1455,960,Crack
img-4860.jpg,1459,1054,1537,1220,Crack
img-4862.jpg,1586,1145,1696,1311,Crack
img-4916.jpg,1066,840,1135,902,Crack
img-4917.jpg,1085,478,1158,571,Crack
img-4918.jpg,1119,79,1220,206,Crack
img-4969.jpg,1419,617,1492,695,Crack
img-4971.jpg,1566,761,1630,890,Crack
img-4972.jpg,1532,750,1608,873,Crack
img-4973.jpg,1538,931,1633,1049,Crack
img-4986.jpg,1697,306,1789,455,Crack
img-4987.jpg,1719,650,1823,858,Crack
img-4988.jpg,1654,930,1769,1118,Crack
img-4990.jpg,1864,1349,1970,1560,Crack
img-4992.jpg,1841,1416,1967,1636,Crack
img-5474.jpg,1784,486,2027,688,Crack
img-5475.jpg,1640,870,1899,1175,Crack
img-5476.jpg,1544,1298,1778,1659,Crack
img-5477.jpg,1532,1711,1701,1925,Crack
img-5489.jpg,1923,604,2140,708,Crack
img-5490.jpg,1787,910,2044,1116,Crack
img-5491.jpg,1651,1258,1899,1585,Crack
img-5492.jpg,1606,1652,1812,1946,Crack
img-5990.jpg,1414,1351,1495,1464,Crack
img-5991.jpg,1193,950,1294,1082,Crack
img-5992.jpg,1043,624,1121,759,Crack
img-5993.jpg,921,426,997,535,Crack
img-6018.jpg,1719,667,1863,793,Crack
img-6019.jpg,1728,800,1857,909,Crack
img-6020.jpg,1708,1051,1795,1152,Crack
